"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","18,250","18,550","18,550","18,050","217.40K","0.83%"
"01/18/2024","18,100","17,950","18,100","17,800","105.90K","0.56%"
"01/17/2024","18,000","17,950","18,050","17,700","59.30K","0.28%"
"01/16/2024","17,950","17,650","18,050","17,650","38.40K","-0.28%"
"01/15/2024","18,000","17,800","18,200","17,800","84.70K","-0.55%"
"01/12/2024","18,100","18,000","18,200","17,850","121.60K","-0.55%"
"01/11/2024","18,200","18,200","18,650","18,150","539.40K","0.28%"
"01/10/2024","18,150","18,100","18,150","17,950","133.70K","0.28%"
"01/09/2024","18,100","18,100","18,300","17,750","89.10K","-0.28%"
"01/08/2024","18,150","18,150","18,200","18,000","31.30K","0.00%"
"01/05/2024","18,150","18,150","18,150","17,900","145.40K","0.00%"
"01/04/2024","18,150","18,100","18,450","18,100","69.20K","0.28%"
"01/03/2024","18,100","18,400","18,400","17,950","145.70K","-1.90%"
"01/02/2024","18,450","18,900","18,900","18,450","56.20K","-2.38%"
"12/29/2023","18,900","18,600","18,900","18,550","111.50K","0.00%"
"12/28/2023","18,900","18,600","18,900","18,400","145.00K","0.27%"
"12/27/2023","18,850","18,300","19,000","18,300","134.60K","1.34%"
"12/26/2023","18,600","18,350","18,600","18,350","175.00K","0.27%"
"12/25/2023","18,550","18,200","18,550","18,000","146.80K","0.27%"
"12/22/2023","18,500","18,000","18,500","17,850","154.80K","0.00%"
"12/21/2023","18,500","17,700","18,500","17,600","281.10K","2.21%"
"12/20/2023","18,100","17,950","18,200","17,500","164.00K","0.56%"
